No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Composition API,Use setup() with script setup,<script setup> is the recommended shorthand for Composition API — less boilerplate and better type inference,Use <script setup> in all new SFCs,Use Options API or verbose setup() return objects,<script setup> const count = ref(0) </script>,<script> export default { setup() { return { count: ref(0) } } } </script>,High,https://vuejs.org/api/sfc-script-setup.html
2,Composition API,Prefer ref for primitives,ref() wraps primitives in a reactive object and requires .value access — signals intent clearly,Use ref() for strings / numbers / booleans,Use reactive() for single primitive values,const name = ref(''),const state = reactive({ name: '' }) // for a single primitive,Medium,https://vuejs.org/guide/essentials/reactivity-fundamentals.html
3,Composition API,Use reactive for object graphs,reactive() returns a deeply reactive proxy — ideal for grouped related state,Use reactive() for related state objects,Wrap every primitive individually with ref(),const form = reactive({ name: '' email: '' }),const name = ref('') const email = ref(''),Medium,https://vuejs.org/guide/essentials/reactivity-fundamentals.html
4,Composition API,Use computed for derived state,computed() memoizes derived values and only re-evaluates when dependencies change,Derive values with computed(),Recompute values inline in the template,const fullName = computed(() => first.value + ' ' + last.value),{{ first + ' ' + last }} // recalculates every render,High,https://vuejs.org/guide/essentials/computed.html
5,Composition API,Prefer watchEffect over watch when possible,watchEffect() tracks dependencies automatically — less code and harder to miss a dep,Use watchEffect() for side-effects that depend on reactive state,Manually list every dependency in watch(),watchEffect(() => console.log(count.value)),"watch([count], ([c]) => console.log(c)) // verbose",Low,https://vuejs.org/guide/essentials/watchers.html
6,Composition API,Clean up side-effects in watch,Always stop watchers and clear timers/event listeners in onUnmounted or by using the auto-cleanup provided by watchEffect,Return cleanup function from watchEffect / use onUnmounted,Leave subscriptions active after component teardown,watchEffect((onCleanup) => { onCleanup(() => socket.close()) }),"watch(src, () => { fetch(src.value) }) // no cleanup",Critical,https://vuejs.org/guide/essentials/watchers.html#stopping-a-watcher
7,Components,Type props with defineProps,defineProps<T>() provides compile-time type checking without a runtime options object,Use generic syntax: defineProps<{ title: string }>(),Use untyped string-array props declaration,const props = defineProps<{ label: string; count: number }>(),"const props = defineProps(['label', 'count'])",High,https://vuejs.org/guide/components/props.html
8,Components,Declare emits with defineEmits,defineEmits<T>() narrows the allowed event contract and improves IDE autocomplete,Use defineEmits with typed signature,Emit arbitrary string events without declaration,const emit = defineEmits<{ change: [val: string] }>(),this.$emit('change' value) // no declaration,High,https://vuejs.org/guide/components/events.html
9,Components,Use defineExpose sparingly,Only expose what external consumers need — keep internal state private by default,Expose a minimal public API via defineExpose(),Expose all internal refs to parent,defineExpose({ focus }),defineExpose({ count name form errors }) // over-exposes,Medium,https://vuejs.org/api/sfc-script-setup.html#defineexpose
10,Components,Prefer named slots with fallback,Named slots make component APIs explicit; provide meaningful fallback content to aid developer UX,Use named slots with default fallback content,Use only default slot for multi-section layouts,"<slot name=""header""><h2>Default</h2></slot>",<slot /> // no fallback and unnamed for complex layouts,Low,https://vuejs.org/guide/components/slots.html
11,State Management,Use Pinia for global state,Pinia is the official Vue state library — typed stores with devtools support and no mutations boilerplate,Define stores with defineStore(),Use Vuex or bare reactive objects for cross-component state,export const useCounterStore = defineStore('counter' () => { const n = ref(0); return { n } }),export default { state: () => ({ n: 0 }) } // Vuex pattern,High,https://pinia.vuejs.org/core-concepts/
12,State Management,Use setup-style stores in Pinia,The setup() store format mirrors Composition API — reuse composables and feels consistent,Define Pinia stores using setup function syntax,Use options-style Pinia stores in new code,"defineStore('cart', () => { const items = ref([]); return { items } })","defineStore('cart', { state: () => ({ items: [] }) })",Medium,https://pinia.vuejs.org/core-concepts/#setup-stores
13,State Management,Access store with storeToRefs,storeToRefs() preserves reactivity when destructuring state and getters from a Pinia store,Destructure reactive refs via storeToRefs(),Destructure the store directly (breaks reactivity),const { count } = storeToRefs(useCounterStore()),const { count } = useCounterStore() // loses reactivity,Critical,https://pinia.vuejs.org/core-concepts/#destructuring-from-a-store
14,State Management,Keep actions in the store,Business logic that mutates store state belongs inside store actions — not in component methods,Put async data-fetching and mutations in actions,Mutate store state directly from components,store.$patch({ loading: true }) or store.fetchItems(),"store.items = []" // bypasses store logic,High,https://pinia.vuejs.org/core-concepts/actions.html
15,Reactivity,Avoid replacing reactive objects,Assigning a new object to a reactive() ref breaks reactivity — mutate properties instead,Mutate properties of reactive objects in place,Replace the whole reactive object with assignment,"Object.assign(form, newData)",form = reactive(newData) // breaks reactivity,Critical,https://vuejs.org/guide/essentials/reactivity-fundamentals.html#limitations-of-reactive
16,Reactivity,Use toRefs when spreading reactive,toRefs() converts reactive object properties into individual refs so they stay reactive after destructuring,Wrap reactive spread with toRefs(),Destructure reactive() directly,const { name } = toRefs(form),const { name } = form // name is not reactive,Critical,https://vuejs.org/api/reactivity-utilities.html#torefs
17,Reactivity,Use shallowRef for large immutable data,shallowRef() avoids deep reactivity overhead for large data structures that are replaced wholesale,Use shallowRef() for big arrays/objects replaced atomically,Use ref() for large datasets you replace frequently,const rows = shallowRef(fetchedData),const rows = ref(bigDataArray) // deep observe overhead,Medium,https://vuejs.org/api/reactivity-advanced.html#shallowref
18,Performance,Use v-memo for expensive list items,v-memo caches a subtree until a dependency array changes — prevents unnecessary re-renders in large lists,Add v-memo to heavy list row components,Skip v-memo and rely solely on key-based diffing for expensive rows,<ListItem v-for="i in items" :key="i.id" v-memo="[i.id i.selected]" />,<ListItem v-for="i in items" :key="i.id" /> // always re-renders,High,https://vuejs.org/api/built-in-directives.html#v-memo
19,Performance,Lazy-load heavy components,defineAsyncComponent() splits heavy components into separate chunks — reduces initial bundle size,Wrap page-level or modal components with defineAsyncComponent(),Import all components statically at the top,const Modal = defineAsyncComponent(() => import('./Modal.vue')),import Modal from './Modal.vue' // always bundled,High,https://vuejs.org/guide/components/async.html
20,Performance,Use KeepAlive for expensive views,<KeepAlive> caches component state across route changes — avoids expensive re-initialization,Wrap tab panels or route views with <KeepAlive>,Mount/unmount expensive components on every route change,<KeepAlive><component :is="tab" /></KeepAlive>,<component :is="tab" /> // remounts on every switch,Medium,https://vuejs.org/guide/built-ins/keep-alive.html
21,Routing,Use useRouter and useRoute composables,Composition API equivalents of this.$router/$route — required inside <script setup>,Call useRouter() / useRoute() inside setup,Access $router / $route in <script setup> via template refs,const router = useRouter(); const route = useRoute(),this.$router.push('/home') // invalid in setup(),High,https://router.vuejs.org/guide/advanced/composition-api.html
22,Routing,Lazy-load route components,Dynamic imports make each route a separate chunk — improves TTFB for large SPAs,Use () => import() for all route components,Import all page components statically in router.ts,"{ path: '/about', component: () => import('./About.vue') }","{ path: '/about', component: AboutPage } // always loaded",High,https://router.vuejs.org/guide/advanced/lazy-loading.html
23,Routing,Use navigation guards for auth,beforeEach() guards enforce authentication and redirect unauthenticated users before rendering,Add a global router.beforeEach() auth guard,Check auth state inside the component mounted hook,"router.beforeEach((to) => { if (to.meta.auth && !user.value) return '/login' })","onMounted(() => { if (!user) router.push('/login') }) // too late",Critical,https://router.vuejs.org/guide/advanced/navigation-guards.html
24,Routing,Prefer named routes over path strings,Named routes decouple navigation from URL structure — refactoring paths won't break router.push calls,Use name property in route definitions and router.push,Hard-code path strings in router.push() calls,"router.push({ name: 'UserProfile', params: { id } })",router.push('/user/42') // breaks if path changes,Medium,https://router.vuejs.org/guide/essentials/named-routes.html
25,Forms,Use v-model with defineModel,defineModel() (Vue 3.4+) simplifies two-way binding in child components with a single macro,Use defineModel() for custom input components,Manually wire :modelValue prop + emit('update:modelValue'),const model = defineModel<string>(),"props: { modelValue: String }, emit('update:modelValue', v)",High,https://vuejs.org/guide/components/v-model.html
26,Forms,Validate with VeeValidate + Zod,VeeValidate integrates Zod schemas for declarative type-safe form validation — no boilerplate error state,Use useForm() with zodResolver() for validation,Write manual validation logic and track errors in local refs,"const { handleSubmit } = useForm({ validationSchema: toTypedSchema(z.object({ email: z.string().email() })) })","const errors = ref({}); if (!email.value.includes('@')) errors.value.email = 'Invalid'",High,https://vee-validate.logaretm.com/v4/integrations/zod-schema-validation/
27,Accessibility,Use semantic HTML elements in templates,Semantic elements convey meaning to assistive technologies without extra ARIA — prefer them over generic divs,Use <button> <nav> <main> <article> <section> etc,Use <div> with click handlers for interactive elements,<button @click="submit">Submit</button>,<div @click="submit">Submit</div> // not keyboard accessible,Critical,https://vuejs.org/guide/best-practices/accessibility.html
28,Accessibility,Bind dynamic ARIA attributes reactively,Use :aria-* bindings to keep ARIA state in sync with component state — avoids stale accessibility metadata,Bind aria-expanded / aria-disabled / aria-label dynamically,Use static aria attributes for dynamic state,<button :aria-expanded="isOpen" :aria-controls="menuId">,<button aria-expanded="false"> // never updates,High,https://vuejs.org/guide/best-practices/accessibility.html#aria
