No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Views,Conform to View protocol correctly,Every custom SwiftUI view must conform to View and implement a body property. Keep body focused on layout; extract sub-views for logic or reuse.,Return a single top-level container from body; use @ViewBuilder for conditional or multi-branch returns.,Put business logic or data transformation directly inside body — it re-runs on every render pass.,struct ProfileView: View { var body: some View { Text(user.name) } },struct ProfileView: View { var body: some View { let _ = loadData(); Text(name) } },Critical,https://developer.apple.com/documentation/swiftui/view
2,Views,Extract sub-views to control redraws,SwiftUI redraws only the views whose inputs changed. Extracting independent sub-views limits the redraw scope and improves performance.,Break large body trees into smaller named View structs with their own parameters.,Build one mega-body with nested VStack closures hundreds of lines long.,struct AvatarView: View { let url: URL; var body: some View { AsyncImage(url: url) } },// 300-line body with all layout inline,High,https://developer.apple.com/documentation/swiftui/managing-model-data-in-your-app
3,Views,Use @ViewBuilder for conditional layouts,Annotate helper methods or computed properties that return multiple conditional branches with @ViewBuilder so SwiftUI can handle the resulting opaque types.,Use @ViewBuilder on functions that contain if/switch branching returning different View types.,Return AnyType-erased views (AnyView) for branching — erases diffing identity and hurts performance.,@ViewBuilder var badge: some View { if isPro { ProBadge() } else { FreeBadge() } },var badge: some View { return AnyView(isPro ? ProBadge() : FreeBadge()) },High,https://developer.apple.com/documentation/swiftui/viewbuilder
4,Views,Prefer value types for view data,SwiftUI views are structs (value types). Pass immutable value-type data directly to view initialisers to keep rendering deterministic and thread-safe.,Pass lightweight value-type structs to views; use @Binding only when the child needs write-back.,Pass reference-type objects directly into view initialisers without using @StateObject or @ObservedObject.,struct ItemRow: View { let item: Item },"struct ItemRow: View { var item: ItemObject } // reference type, ownership unclear",Medium,https://developer.apple.com/documentation/swift/choosing-between-structures-and-classes
5,State & Binding,@State for local ephemeral state,Use @State for private view-owned values that SwiftUI should observe and redraw on change. It should never leak outside the view.,Prefix @State properties with private; initialise with a literal default value.,Use @State for data that is shared between multiple views or that comes from a model layer.,@State private var isExpanded = false,@State var sharedCart: [Item] = [] // should be in a model,High,https://developer.apple.com/documentation/swiftui/state
6,State & Binding,@Binding for child write-back,Pass @Binding when a child view needs to mutate a piece of state owned by a parent. It creates a two-way reference without transferring ownership.,Create Binding in the parent and pass with $ prefix; child declares @Binding var.,Use @State in child when it receives a value from a parent that the parent also needs to observe.,Toggle(isOn: $isOn),// child has @State var isOn copying parent value,High,https://developer.apple.com/documentation/swiftui/binding
7,State & Binding,@Observable macro (Swift 5.9+),Use the @Observable macro instead of ObservableObject + @Published for model objects in iOS 17+. It provides fine-grained property tracking with less boilerplate.,Annotate model classes with @Observable; access with @State or direct property in View.,Use @ObservableObject with @Published for new code targeting iOS 17+ — the older pattern is less efficient.,@Observable class CartModel { var items: [Item] = [] },class CartModel: ObservableObject { @Published var items: [Item] = [] } // legacy,Medium,https://developer.apple.com/documentation/observation
8,State & Binding,@StateObject owns the model lifecycle,Use @StateObject when a view is responsible for creating and owning an ObservableObject. SwiftUI initialises it once and keeps it alive across redraws.,Declare @StateObject in the view that creates the model; pass to children via @ObservedObject or environment.,Use @ObservedObject for a model the view creates — it re-initialises on every redraw.,@StateObject private var vm = CartViewModel(),@ObservedObject var vm = CartViewModel() // recreated on redraw,Critical,https://developer.apple.com/documentation/swiftui/stateobject
9,Environment,@Environment for system values,"Read system-provided values (colorScheme, locale, sizeCategory, dismiss) from the environment using @Environment with a typed key path.",Use @Environment(\.dismiss) or @Environment(\.openURL) for system actions instead of custom callbacks.,Pass dismiss or open-URL callbacks manually through view hierarchies — the environment is the canonical channel.,@Environment(\.dismiss) private var dismiss,// passing dismiss: () -> Void through 4 view layers,Medium,https://developer.apple.com/documentation/swiftui/environment
10,Environment,@EnvironmentObject for shared model,Use @EnvironmentObject to inject a shared ObservableObject into a deep sub-tree without passing it through every intermediate view.,Inject at the highest ancestor that needs the object using .environmentObject(); consume only where required.,Inject @EnvironmentObject at the root for every model — prefer @Observable or explicit init for locally scoped data.,ContentView().environmentObject(authSession),// passing AuthSession through 8 struct inits,High,https://developer.apple.com/documentation/swiftui/environmentobject
