Component,Category,Variants,Sizes,States,Default Padding,Default Radius,Default Shadow,Default Transition,Project Types,Keywords
button,interactive,"primary,secondary,outline,ghost,destructive,link","sm,default,lg","default,hover,active,focus,disabled,loading","sm:6px 12px|default:8px 16px|lg:12px 24px","sm:4px|default:6px|lg:8px",none,"all 150ms ease","landing-page,saas-app,dashboard,e-commerce,portfolio,mobile-app,blog,admin-panel","cta,action,submit,click,tap"
cta-button,interactive,"primary,secondary","default,lg","default,hover,active,focus","default:12px 32px|lg:16px 40px","default:8px|lg:12px","0 4px 6px rgba(0,0,0,0.07)","all 200ms ease","landing-page,portfolio","call to action,hero,conversion,signup"
input,form,"text,email,password,number,search,textarea","sm,default,lg","default,focus,error,disabled,readonly","sm:6px 10px|default:8px 12px|lg:10px 14px","sm:4px|default:6px|lg:8px",none,"border-color 150ms ease","saas-app,dashboard,e-commerce,mobile-app,admin-panel,blog","field,form,text,type,enter"
select,form,"default,multi","sm,default,lg","default,focus,open,disabled","sm:6px 10px|default:8px 12px|lg:10px 14px","sm:4px|default:6px|lg:8px",none,"border-color 150ms ease","saas-app,dashboard,e-commerce,admin-panel","dropdown,choose,option,picker"
checkbox,form,"default,indeterminate","sm,default","default,checked,focus,disabled","2px","sm:2px|default:4px",none,"all 100ms ease","saas-app,dashboard,admin-panel,e-commerce","check,toggle,option,multi-select"
radio,form,"default","sm,default","default,selected,focus,disabled","2px","50%",none,"all 100ms ease","saas-app,admin-panel","choose,option,single-select"
toggle,form,"default","sm,default,lg","default,on,focus,disabled","2px","9999px",none,"all 200ms ease","saas-app,dashboard,admin-panel,mobile-app","switch,on-off,enable,disable"
card,container,"default,elevated,outline,interactive","sm,default,lg","default,hover","sm:12px|default:16px|lg:24px","sm:8px|default:12px|lg:16px","default:0 1px 3px rgba(0,0,0,0.05)|elevated:0 4px 6px rgba(0,0,0,0.07)",none,"landing-page,saas-app,dashboard,e-commerce,portfolio,mobile-app,blog,admin-panel","container,box,panel,group"
product-card,container,"default,compact,featured","sm,default,lg","default,hover","sm:8px|default:12px|lg:16px","sm:8px|default:12px|lg:16px","0 1px 3px rgba(0,0,0,0.05)","transform 200ms ease","e-commerce","product,item,shop,buy"
stat-card,container,"default,trend,comparison","sm,default","default,hover","sm:12px|default:16px","8px","0 1px 3px rgba(0,0,0,0.05)",none,"dashboard,admin-panel,saas-app","metric,kpi,number,statistic"
article-card,container,"default,featured,compact","sm,default,lg","default,hover","sm:12px|default:16px|lg:20px","8px","0 1px 3px rgba(0,0,0,0.05)","transform 200ms ease","blog","post,article,story,read"
project-card,container,"default,featured","default,lg","default,hover","16px","12px","0 2px 4px rgba(0,0,0,0.06)","transform 200ms ease","portfolio","work,project,case-study"
modal,overlay,"default,alert,fullscreen","sm,default,lg","open,closing","sm:16px|default:24px|lg:32px","sm:8px|default:12px|lg:16px","0 8px 30px rgba(0,0,0,0.12)","all 200ms ease","saas-app,dashboard,e-commerce,admin-panel,mobile-app","dialog,popup,overlay,confirm"
nav,navigation,"horizontal,vertical,mobile","default","default,sticky,scrolled","8px 16px","0","scrolled:0 1px 3px rgba(0,0,0,0.05)","all 200ms ease","landing-page,saas-app,dashboard,e-commerce,portfolio,mobile-app,blog,admin-panel","navigation,menu,header,topbar"
sidebar,navigation,"default,collapsible,mini","default","default,collapsed,expanded","12px","0",none,"width 200ms ease","saas-app,dashboard,admin-panel","side,menu,nav,panel"
footer,navigation,"default,minimal,detailed","default","default","24px 16px","0",none,none,"landing-page,e-commerce,portfolio,blog","bottom,links,info,copyright"
hero,section,"default,split,video,minimal","default","default","48px 24px","0",none,none,"landing-page,portfolio","header,banner,above-fold,main"
section,layout,"default,alternate,feature","default","default","48px 0","0",none,none,"landing-page,portfolio,blog","block,area,container,group"
