No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,App Router,Default to Server Components,Server Components render on the server with zero client JS by default; use them unless you need interactivity,Keep components as Server Components unless they use state events or browser APIs,Add 'use client' to every component by default,async function Page() { const data = await db.query(); return <List data={data} /> },'use client'; export default function Page() { useEffect(() => db.query()) },Critical,https://nextjs.org/docs/app/building-your-application/rendering/server-components
2,App Router,Mark Client Components explicitly,Only components that need hooks or event handlers need 'use client'; keep the boundary as low as possible,Add 'use client' only to the leaf component that requires it,Put 'use client' on layout files or high in the tree,'use client'; export function LikeButton() { const [liked] = useState(false) },'use client'; export default function Layout({ children }) { },Critical,https://nextjs.org/docs/app/building-your-application/rendering/client-components
3,App Router,Colocate related files in the route folder,App Router supports colocating components tests and utilities inside route segments,Keep page-specific components inside the route folder,Put all components in a global /components directory regardless of scope,app/dashboard/page.tsx + app/dashboard/DashboardChart.tsx,app/components/DashboardChart.tsx used only by dashboard,Low,https://nextjs.org/docs/app/building-your-application/routing/colocation
4,App Router,Use layout.tsx for shared UI,Layouts persist across navigations and avoid re-mounting shared UI like sidebars,Shared chrome in layout.tsx; page-specific UI in page.tsx,Re-render nav and sidebar inside every page component,app/layout.tsx wraps all pages with <Nav /> and <Footer />,Each page renders its own <Nav /> and <Footer />,High,https://nextjs.org/docs/app/building-your-application/routing/layouts-and-templates
5,Data Fetching,Fetch data in Server Components,Fetch directly in async Server Components to eliminate client waterfalls,async/await in Server Components for data dependencies,Client-side fetch in useEffect for data that can be server-rendered,async function Page() { const posts = await fetchPosts(); return <Posts data={posts} /> },useEffect(() => { fetch('/api/posts').then(setPosts) } []),Critical,https://nextjs.org/docs/app/building-your-application/data-fetching/fetching
6,Data Fetching,Use fetch with cache options,Next.js extends fetch with cache and revalidation controls baked in,fetch(url { cache: 'force-cache' }) for static data; { next: { revalidate: 60 } } for ISR,Always use no-store or always force-cache without considering the use case,fetch(url { next: { revalidate: 3600 } }),fetch(url { cache: 'no-store' }) for static marketing content,High,https://nextjs.org/docs/app/building-your-application/data-fetching/fetching#fetching-data-on-the-server-with-the-fetch-api
7,Data Fetching,Parallelize independent fetches,Await independent data fetches concurrently to reduce total latency,Promise.all for independent server fetches,Sequential await chains for unrelated data,const [user posts] = await Promise.all([getUser() getPosts()]),const user = await getUser(); const posts = await getPosts();,High,https://nextjs.org/docs/app/building-your-application/data-fetching/fetching#parallel-and-sequential-data-fetching
8,Data Fetching,Validate external data with Zod,Runtime validation catches API shape mismatches before they cause render errors,Validate API responses with Zod before using them,Trust external API shapes without validation,const user = UserSchema.parse(await fetchUser()),const user = await fetchUser() as User,Medium,https://zod.dev
9,Routing,Add loading.tsx for async routes,loading.tsx automatically wraps the page in a Suspense boundary for instant shell,Add loading.tsx next to page.tsx for routes with server data,Leave routes without any loading state,app/dashboard/loading.tsx exports a <DashboardSkeleton />,No loading.tsx; user sees blank page during fetch,High,https://nextjs.org/docs/app/building-your-application/routing/loading-ui-and-streaming
10,Routing,Add error.tsx for route error handling,error.tsx catches runtime errors in a route segment and shows a recovery UI,Error.tsx with a retry button in every major route segment,Let route errors bubble to a top-level crash,app/dashboard/error.tsx exports <ErrorFallback reset={reset} />,No error.tsx; one bad fetch crashes the whole app,High,https://nextjs.org/docs/app/building-your-application/routing/error-handling
