No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Widgets,Use StatelessWidget when possible,Prefer StatelessWidget over StatefulWidget when the widget does not manage mutable state. Stateless widgets are cheaper to build and easier to reason about.,Use StatelessWidget for purely presentational widgets that receive all data via constructor.,Convert a widget to StatefulWidget just because it feels easier — keep state as high or as low as needed.,class MyLabel extends StatelessWidget { ... },class MyLabel extends StatefulWidget { ... } // no mutable state needed,High,https://docs.flutter.dev/development/ui/widgets-intro
2,Widgets,const constructors everywhere,Declare const constructors on widgets and use const at call sites. Flutter can short-circuit rebuilds for const widgets because they are canonicalised at compile time.,Add const to every widget constructor that has no mutable fields and use const keyword at instantiation.,Omit const on leaf widgets. Even a single non-const Text() in a subtree forces an extra reconcile pass.,const Text('Hello'),Text('Hello'),High,https://dart.dev/language/constructors#constant-constructors
3,Widgets,Compose small focused widgets,Break large build methods into small single-purpose widgets rather than nesting dozens of anonymous builders. Each widget is a rebuild boundary.,Extract reusable sub-trees into their own widget classes with meaningful names.,Put 200+ lines of widget tree inside a single build() method.,class AvatarBadge extends StatelessWidget { ... },"// 200-line build() mixing layout, logic, formatting",High,https://docs.flutter.dev/perf/best-practices#control-build-cost
4,Widgets,Override == and hashCode for data classes,When passing data objects to widgets Flutter uses equality to decide whether to rebuild. Custom == prevents unnecessary diffs.,Implement == and hashCode on model classes passed to widgets or use package:equatable.,Rely on default identity equality for data objects used as widget inputs.,@override bool operator ==(o) => o is User && o.id == id;,class User { String id; } // no == override,Medium,https://dart.dev/language/classes
5,Widgets,Key usage for list items,Provide a Key (ValueKey / ObjectKey) to widgets inside dynamic lists so Flutter can reconcile element moves efficiently.,Use ValueKey(item.id) on list item widgets when the list can be reordered or items removed.,Use index-based keys or omit keys in mutable lists — causes incorrect diffing.,ListView(children: items.map((e) => ItemTile(key: ValueKey(e.id))).toList()),items.map((e) => ItemTile()).toList() // no key,High,https://api.flutter.dev/flutter/foundation/Key-class.html
6,State Management,Provider for simple shared state,Use Provider / ChangeNotifierProvider for straightforward shared state that doesn't require complex async side-effects or state machines.,Wrap the widget subtree that needs access with ChangeNotifierProvider and consume with context.watch or Consumer.,Reach for Bloc or Riverpod before trying Provider — start with the simplest tool that fits.,"ChangeNotifierProvider(create: (_) => CartModel(), child: App())",// passing CartModel 5 levels deep via constructors,Medium,https://pub.dev/packages/provider
7,State Management,Riverpod for testable reactive state,Use Riverpod when you need compile-safe providers outside the widget tree or need to combine async data streams cleanly.,Declare providers at the top level as final variables and consume with ref.watch inside ConsumerWidget.,Mix Riverpod and Provider in the same project — pick one and standardise.,"final cartProvider = StateNotifierProvider<CartNotifier, CartState>((ref) => CartNotifier());",// global variable holding raw state without provider,High,https://riverpod.dev/docs/introduction/getting_started
8,State Management,Bloc for complex event-driven flows,Use flutter_bloc when state transitions are driven by discrete events and you need an audit trail or replaying capability (e.g. multi-step forms and wizards).,Map UI events to Bloc events; keep business logic inside the Bloc; keep UI inside BlocBuilder.,Put business logic directly inside BlocBuilder or onPressed callbacks when using Bloc.,context.read<OrderBloc>().add(SubmitOrder(cart)),// setState() containing order submission HTTP call,Medium,https://bloclibrary.dev/bloc-concepts/
9,State Management,Avoid setState for app-level state,setState is appropriate only for ephemeral local UI state (animation tick and input focus). Lift anything shared beyond one widget into a state management solution.,Use setState for toggle animations or form field focus; use Provider/Riverpod/Bloc for data shared across routes.,Call setState to update a list that is read by multiple screens.,setState(() { _isExpanded = !_isExpanded; }),setState(() { app.cart.add(item); }),Critical,https://docs.flutter.dev/data-and-backend/state-mgmt/ephemeral-vs-app
10,Layout,Expanded fills available axis space,Use Expanded inside Row/Column to let a child fill remaining space proportionally. Avoids unbounded constraint errors caused by Column inside Column.,Wrap flexible children with Expanded or Flexible and provide flex ratios when proportional sizing is needed.,Give a fixed height to a widget inside an unbounded Column expecting to size itself intrinsically.,"Row(children: [Expanded(child: TextField()), IconButton(...)])","Row(children: [TextField(), IconButton(...)]) // overflow",High,https://api.flutter.dev/flutter/widgets/Expanded-class.html
11,Layout,SizedBox for explicit spacing,Use SizedBox for fixed whitespace between widgets instead of Container with no decoration — it is lighter and communicates intent.,Replace Container(width: 8) spacing shims with SizedBox(width: 8) or SizedBox(height: 16) between siblings.,Use Container() as a pure spacer — Container carries unnecessary overhead for spacing only.,SizedBox(height: 16),Container(height: 16),Low,https://api.flutter.dev/flutter/widgets/SizedBox-class.html
