No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Runes,Use $state for reactive variables,Svelte 5 $state rune replaces let declarations for reactive state — explicit and compiler-optimised,Declare mutable reactive state with $state(),Use plain let for state that needs to be reactive in Svelte 5,let count = $state(0),let count = 0 // not reactive in Svelte 5,Critical,https://svelte.dev/docs/svelte/$state
2,Runes,Use $derived for computed values,$derived() memoises expressions that depend on reactive state — replaces $: reactive statements,Derive values with $derived() instead of $: labels,Use $: for derived values in Svelte 5,let doubled = $derived(count * 2),$: doubled = count * 2 // legacy Svelte 4 syntax,High,https://svelte.dev/docs/svelte/$derived
3,Runes,Use $effect for side-effects,$effect() runs after DOM updates when its reactive dependencies change — replaces onMount + reactive statements for side-effects,Use $effect() for DOM interactions and subscriptions,Use $: blocks for side-effects that need cleanup in Svelte 5,$effect(() => { document.title = title }),$: document.title = title // no cleanup possible,High,https://svelte.dev/docs/svelte/$effect
4,Runes,Return cleanup from $effect,Return a cleanup function from $effect to cancel subscriptions and timers when the component is destroyed or deps change,Always return cleanup logic from $effect,Leave subscriptions running after component teardown,$effect(() => { const id = setInterval(tick 1000); return () => clearInterval(id) }),$effect(() => { setInterval(tick 1000) }) // memory leak,Critical,https://svelte.dev/docs/svelte/$effect#$effect-return
5,Runes,Declare props with $props,$props() rune replaces export let for component inputs — provides destructuring and default values in one line,Use const { name = 'World' } = $props() for component props,Use export let for props in Svelte 5 components,"const { label, disabled = false } = $props()",export let label; export let disabled = false // Svelte 4 pattern,High,https://svelte.dev/docs/svelte/$props
6,Runes,Use $state.snapshot for non-reactive copies,$state.snapshot() creates a plain deep copy of reactive state — safe to pass to external APIs or serialize,Use $state.snapshot(data) when passing state to non-reactive contexts,Pass reactive $state proxies directly to JSON.stringify / fetch,const snapshot = $state.snapshot(items),JSON.stringify(items) // may miss proxy traps,Medium,https://svelte.dev/docs/svelte/$state#$state.snapshot
7,Components,Prefer snippets over slot fallback in Svelte 5,Svelte 5 snippets ({#snippet}) replace slots — type-safe and composable component content blocks,Use {#snippet} and {@render} for component content areas,Use legacy <slot> syntax in new Svelte 5 components,{#snippet header()}<h1>Title</h1>{/snippet},<slot name="header" /> // Svelte 4 pattern,Medium,https://svelte.dev/docs/svelte/snippet
8,Components,Pass snippets as props for reuse,Snippets can be passed as typed props enabling render-prop-style composition without external libs,Accept Snippet<[]> typed props and render with @render,Duplicate template markup across components,"<Table {rowSnippet} /> // pass snippet prop","<Table> ... duplicated markup ... </Table>",Low,https://svelte.dev/docs/svelte/snippet#passing-snippets-to-components
9,Components,Keep components single-responsibility,Each component should do one thing — split display logic from data-fetching and from layout,Create focused leaf components for display,Build large page-level components with mixed concerns,<UserCard {user} /> // purely presentational,<UserPage /> // fetches + validates + renders everything,Medium,
10,State & Stores,Use writable stores for shared mutable state,Svelte writable stores are reactive across the whole app — subscribe with $ prefix in templates,Create writable stores for cross-component state,Use module-level variables for shared state,export const count = writable(0),export let count = 0 // not reactive across components,High,https://svelte.dev/docs/svelte/svelte-store#writable
