No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Components,Use functional components,Hooks-based functional components are the modern standard in React,Write all components as functions using hooks,Write class-based components for new code,const Button = ({ label }) => <button>{label}</button>,class Button extends Component { render() {} },Medium,https://react.dev/learn/your-first-component
2,Components,Single responsibility principle,Each component should do one thing and do it well,Split large components into focused smaller ones,Build monolithic components handling many concerns,<UserAvatar /> <UserName /> <UserBio />,One giant <UserProfile /> doing everything,Medium,https://react.dev/learn/thinking-in-react
3,Components,Lift state to closest common ancestor,Share state between siblings by lifting it up one level,Lift state to the parent that needs it,Duplicate state in sibling components,const [value] = useState(); return <A v={value} /><B v={value} />,Each sibling owns its own copy of shared state,High,https://react.dev/learn/sharing-state-between-components
4,Components,Prefer composition over prop drilling,Pass components as children or slots instead of deeply nesting props,Use children or render props for flexible composition,Prop drill more than 2-3 levels deep,<Card><CardHeader /><CardBody>{children}</CardBody></Card>,<Card title={title} subtitle={sub} body={body} footer={footer} />,High,https://react.dev/learn/passing-props-to-a-component
5,Components,Use TypeScript for component props,Type all props with TypeScript interfaces for safety and DX,Define an interface or type for every component's props,Use untyped props or PropTypes in new code,"interface Props { label: string; onClick: () => void }","const Button = ({ label, onClick }) => ...",Medium,https://react.dev/learn/typescript
6,State Management,Use useState for local UI state,Simple local state belongs in useState not in global stores,useState for form inputs toggles and local UI,Put all state into a global store,const [isOpen] = useState(false),zustandStore.isOpen for a local modal,Medium,https://react.dev/reference/react/useState
7,State Management,Use useReducer for complex state,When state transitions have multiple cases useReducer is clearer,useReducer when next state depends on current state logic,Multiple related useState calls with coordinated updates,const [state] = useReducer(reducer initialState),5+ useState calls with interdependent logic,Medium,https://react.dev/reference/react/useReducer
8,State Management,Avoid overusing Context,Context re-renders all consumers on every change; use it for slow-changing values,Context for theme locale auth user data,Context for high-frequency state like form fields or animations,<ThemeContext.Provider value={theme}>,<MousePositionContext.Provider value={xy}>,High,https://react.dev/learn/passing-data-deeply-with-context
9,State Management,Use Zustand for global client state,Zustand is minimal and avoids Context re-render pitfalls,Zustand or Jotai for shared client state,Redux for new projects without complex middleware needs,const useStore = create((set) => ({ count: 0 })),new store with redux boilerplate for simple state,Medium,https://docs.pmnd.rs/zustand/getting-started/introduction
10,State Management,Derive values instead of syncing state,Computed values should derive from existing state not be stored separately,Compute derived values inline or with useMemo,Store derived state and keep it in sync with useEffect,const fullName = `${first} ${last}`,const [fullName] = useState(first + last) + useEffect to sync,High,https://react.dev/learn/choosing-the-state-structure
11,Performance,Memoize pure components with memo,Wrap components in React.memo to skip re-renders when props are unchanged,memo() on components that receive stable props,memo() on every component by default,export default memo(ExpensiveList),export default memo(SimpleLabel),Medium,https://react.dev/reference/react/memo
12,Performance,Stabilize callbacks with useCallback,Stable function references prevent child re-renders,useCallback for handlers passed as props to memoized children,useCallback for every function regardless of usage,"const handle = useCallback(() => {}, [dep])","const handle = useCallback(() => {}, []) on every handler",Medium,https://react.dev/reference/react/useCallback
13,Performance,Cache expensive calculations with useMemo,Avoid recomputing heavy work on every render,useMemo for CPU-intensive derivations,useMemo for cheap calculations like adding two numbers,const sorted = useMemo(() => items.sort(fn) [items]),const doubled = useMemo(() => count * 2 [count]),Medium,https://react.dev/reference/react/useMemo
14,Performance,Code-split with lazy and Suspense,Load large components only when needed to reduce initial bundle size,React.lazy + Suspense for routes and heavy modals,Import all components eagerly at the top level,const Chart = lazy(() => import('./Chart')),import Chart from './Chart' in the root bundle,High,https://react.dev/reference/react/lazy
15,Performance,Virtualize long lists,Render only visible items to avoid DOM bloat,TanStack Virtual or react-window for lists over 100 items,Render thousands of DOM nodes with Array.map,<VirtualList items={bigList} />,{bigList.map(item => <Row key={item.id} />)},High,https://tanstack.com/virtual/latest
16,Styling,Prefer CSS Modules for scoped styles,CSS Modules scope class names at build time with zero runtime cost,CSS Modules for component-level styles,Global CSS for component-specific styles,import styles from './Button.module.css',import './Button.css' (global),Medium,https://create-react-app.dev/docs/adding-a-css-modules-stylesheet/
17,Styling,Use Tailwind utility classes consistently,Tailwind avoids context-switching and keeps styles co-located in JSX,Tailwind for new projects; use design tokens via config,Mix Tailwind with arbitrary inline styles freely,<button className="px-4 py-2 bg-blue-600 text-white rounded">,<button className="px-4" style={{ backgroundColor: '#1d4ed8' }}>,Low,https://tailwindcss.com/docs/installation
18,Styling,Avoid dynamic inline styles for layout,Inline styles bypass CSS optimizations and cause re-renders,Keep layout in CSS/Tailwind; use inline only for truly dynamic values,Use inline style objects for static layout,style={{ color: dynamicColor }},style={{ display: 'flex' alignItems: 'center' padding: '16px' }},Medium,https://react.dev/learn/javascript-in-jsx-with-curly-braces
19,Data Fetching,Use TanStack Query or SWR,Dedicated data-fetching libraries handle caching deduplication and revalidation,React Query or SWR for all server state,Manual fetch in useEffect with local loading/error state,const { data } = useQuery({ queryKey: ['user'] queryFn: fetchUser }),useEffect(() => { fetch('/user').then(...) } []),High,https://tanstack.com/query/latest
20,Data Fetching,Never fetch in useEffect for initial data,useEffect fetching is prone to race conditions and lacks caching,Use a data-fetching library for initial page data,useEffect(() => { fetch(...) } []) as the primary data strategy,const { data } = useSuspenseQuery({ queryKey: ['items'] queryFn }),useEffect(() => { setData(await fetch()) } []),High,https://react.dev/learn/you-might-not-need-an-effect
21,Data Fetching,Always handle loading and error states,Users need feedback; unhandled rejections cause white screens,Render loading skeletons and error messages,Assume fetch always succeeds,if (isLoading) return <Skeleton />; if (error) return <Error />;,return <List data={data} /> without loading/error checks,High,https://tanstack.com/query/latest/docs/framework/react/guides/queries
22,Data Fetching,Use error boundaries for async errors,Error boundaries catch rendering errors from async data in Suspense,Wrap suspense trees with an ErrorBoundary component,Let unhandled errors crash the whole page,<ErrorBoundary fallback={<Oops />}><Suspense>...</Suspense></ErrorBoundary>,No error boundary around data-dependent subtrees,High,https://react.dev/reference/react/Component#catching-rendering-errors-with-an-error-boundary
23,Accessibility,Use semantic HTML elements,Semantic elements communicate role to assistive technologies natively,button for actions; a for navigation; label for inputs,div and span for interactive elements,<button onClick={handleSubmit}>Submit</button>,<div onClick={handleSubmit}>Submit</div>,Critical,https://react.dev/learn/writing-markup-with-jsx
24,Accessibility,Label all interactive elements,Screen readers announce labels; unlabeled controls are unusable,htmlFor on label tied to input id; aria-label on icon buttons,Rely on placeholder text as the only visible label,"<label htmlFor=""email"">Email</label><input id=""email"" />","<input placeholder=""Email"" /> with no label",Critical,https://www.w3.org/WAI/tutorials/forms/labels/
25,Accessibility,Manage focus after dynamic changes,When content changes or modals open users must be guided to new content,Move focus to modal on open; return focus on close,Let focus stay on the triggering element behind an overlay,dialogRef.current?.focus() inside useEffect on open,Modal opens without moving focus,High,https://react.dev/learn/manipulating-the-dom-with-refs
26,Accessibility,Announce dynamic content with ARIA live regions,Changes that appear without user action need aria-live to be announced,aria-live="polite" for status messages and toast notifications,Update content silently with no live region,"<div aria-live=""polite"">{statusMessage}</div>",<div>{statusMessage}</div> (never announced),High,https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-live
27,Forms,Use controlled inputs,Controlled inputs keep React as the single source of truth for form values,value + onChange for all inputs,defaultValue without controlled state for important forms,<input value={email} onChange={e => setEmail(e.target.value)} />,<input defaultValue={email} />,Medium,https://react.dev/reference/react-dom/components/input
28,Forms,Use React Hook Form for complex forms,RHF minimizes re-renders and integrates validation libraries,React Hook Form for forms with 3+ fields or validation,Manually manage all field state and validation,const { register handleSubmit } = useForm(),useState for every field + custom validation,Medium,https://react-hook-form.com/get-started
29,Forms,Validate with Zod schemas,Schema validation gives type-safe runtime checks and integrates with RHF,Zod + zodResolver for form validation,Hand-rolled if/else validation per field,schema = z.object({ email: z.string().email() }),if (!email.includes('@')) setError('bad email'),Medium,https://zod.dev
30,Forms,Show inline validation errors,Display errors next to the relevant field immediately after interaction,Show errors below each field on blur or submit,Show one alert-box with all errors at the top,"<span role=""alert"">{errors.email?.message}</span>",alert('Please fix the form'),High,https://react-hook-form.com/docs/useformstate/errors
31,Testing,Use React Testing Library,RTL encourages testing from the user's perspective via accessible queries,getByRole getByLabelText getByText for queries,getByTestId or shallow rendering for most tests,screen.getByRole('button' { name: /submit/i }),wrapper.find('Button').prop('onClick')(),High,https://testing-library.com/docs/react-testing-library/intro
32,Testing,Fire events with user-event,user-event simulates real browser interactions including focus and keyboard,userEvent.type userEvent.click for all interactions,fireEvent directly for interactions that involve real user behavior,await userEvent.type(input 'hello@example.com'),fireEvent.change(input { target: { value: 'hello' } }),Medium,https://testing-library.com/docs/user-event/intro
33,Testing,Test behavior not implementation,Tests should survive refactors; test what users see and do,Assert on rendered output and accessible state,Assert on internal state or component method calls,expect(screen.getByRole('alert')).toHaveTextContent('Error'),expect(component.state().hasError).toBe(true),High,https://testing-library.com/docs/guiding-principles
